E451(ii) Трифосфат калия (5-замещенный) (Pentapotassium triphosphate),Машбух
E451(iii) Не указано,Машбух
E452 Полифосфаты (Polyphosphates),Машбух
E452(i) Полифосфат натрия (Sodium polyphosphate),Машбух
E452(ii) Полифосфат калия (Potassium polyphosphate),Машбух
E452(iii) Полифосфат натрия-кальция (Sodiumcalcium polyphosphate),Машбух
E452(iv) Полифосфаты кальция (Calcium polyphosphates),Машбух
E452(v) Полифосфаты аммония (Ammonium polyphosphates),Машбух
E452(vi) Не указано,Машбух
E453 Не указано,Машбух
E454 Не указано,Машбух
E455 Не указано,Машбух
Е456 Не указано,Халяль
E457 Не указано,Машбух
E458 Не указано,Машбух
E459 бета-Циклодекстрин (Beta-cyclodextrin),Халяль
E460 Целлюлоза (Cellulose):,Халяль
"E460(i) (i) Целлюлоза микрокристаллическая (Microcrystalline cellulose),",Халяль
E460(ii) (ii) Целлюлоза в порошке (Powdered cellulose),Халяль
E461 Метилцеллюлоза (Methyl cellulose),Халяль
E462 Этилцеллюлоза (Ethyl cellulose),Халяль
E463 Гидроксипропилцеллюлоза (Hydroxypropyl cellulose),Халяль
E464 Гидроксипропилметилцеллюлоза (Hydroxypropyl methyl cellulose),Халяль
E465 Метилэтилцеллюлоза (Methyl ethyl cellulose),Халяль
E466 Карбоксиметилцеллюлоза ( carboxy methyl cellulose) Карбоксиметилцеллюлоза натриевая соль (Sodium carboxy methyl cellulose) Камедь целлюлозы (cellulose gum),Халяль
E467 Этилгидроксиэтилцеллюлоза (Ethyl hydroxyethyl cellulose),Халяль
E468 Кроскарамеллоза (карбоксиметилцеллюлоза натриевая соль кроссвязанная) - Croscaramellose (CROSS-LINKED SODIUM CARBOXYMETYL CELLULOSE),Халяль
E469 Карбоксиметилцеллюлоза ферментативно гидролизованная (ENZYMATICALLY HYDROLYSED CARBOXYMETYL CELLULOSE) Камедь целлюлозы ферментативно гидролизованная (ENZYMATICALLY HYDROLYSED CELLULOSE GUM),Халяль
"E470 Жирных кислот (миристиновой, олеиновой, пальмитиновой, стеариновой и их смеси) соли алюминия, аммония, калия, кальция, магния, натрия (SALTS OF MYRISTIC, PALMITIC AND STEARIC FATTY ACIDS (with base AI, Ca, Na, Mg, К and NFL)",Машбух
E470(i) Не указано,Машбух
E470(ii) Не указано,Машбух
E470(iii) Не указано,Машбух
E470a Не указано,Машбух
E470b Не указано,Машбух
E471 Моно- и диглицериды жирных кислот (Mono-and diglycerides of fatty acids),Машбух
E472a Эфиры глицерина и уксусной и жирных кислот (Acetic acid esters of mono- and diglycerides of fatty acids),Машбух
E472b Эфиры глицерина и молочной и жирных кислот (ESTERS LACTIC AND FATTY ACID OF GLYCEROL),
E472c Эфиры глицерина и лимонной и жирных кислот (Citric acid esters of mono- and diglycerides of fatty acids),Машбух
E472d Эфиры моно- и диглицеридов жирных кислот и винной кислоты (Tartaric acid esters of mono- and diglycerides of fatty acids),Машбух
E472e Эфиры глицерина и диацетилвинной и жирных кислот (Mono and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids),Машбух
